순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수
1,범죄도시 2,2022.5.18,1.31296E+11,0.145,12693195,2521,355765
2,탑건: 매버릭,2022.6.22,87732820602,0.097,8165687,1975,248783
3,한산: 용의 출현,2022.7.27,73655639377,0.081,7258076,2223,217601
4,공조2: 인터내셔날,2022.9.7,68000199650,0.075,6624892,2389,237776
5,닥터 스트레인지: 대혼돈의 멀티버스,2022.5.4,62648774870,0.069,5884595,2691,211097
6,헌트,2022.8.10,44587492054,0.049,4351000,1625,170845
7,쥬라기 월드: 도미니언,2022.6.1,29237071310,0.032,2837410,2218,86427
8,마녀(魔女) Part2. The Other One,2022.6.15,28922488670,0.032,2806501,1796,94940
9,토르: 러브 앤 썬더,2022.7.6,29505081721,0.032,2716306,2143,107527
10,미니언즈2,2022.7.20,21988862172,0.024,2267414,1394,78942
11,비상선언,2022.8.3,20926361328,0.023,2058762,1734,73043
12,스파이더맨: 노 웨이 홈,2021.12.15,19496498450,0.021,1991050,2162,131941
13,육사오(6/45),2022.8.24,19720155480,0.022,1971430,1339,105682
14,헤어질 결심,2022.6.29,19543417334,0.022,1883964,1374,78876
15,외계+인 1부,2022.7.20,15987858548,0.018,1538508,1959,68410
16,해적: 도깨비 깃발,2022.1.26,12523963990,0.014,1339242,1708,117320
17,브로커,2022.6.8,12585063030,0.014,1260884,1594,66200
18,신비한 동물들과 덤블도어의 비밀,2022.4.13,12305212580,0.014,1195443,2207,106090
19,더 배트맨,2022.3.1,9339130700,0.01,904238,2370,97370
20,씽2게더,2022.1.5,8186997050,0.009,883973,1251,72562
21,킹메이커,2022.1.26,7318959610,0.008,775968,1185,80072
22,정직한 후보2,2022.9.28,7213873492,0.008,756375,1318,60076
23,언차티드,2022.2.16,7116304100,0.008,730924,1536,77036
24,경관의 피,2022.1.5,6687389520,0.007,679503,1187,57409
25,인생은 아름다워,2022.9.28,6386460940,0.007,667434,1285,55995
26,극장판 주술회전 0,2022.2.17,6527966187,0.007,655132,843,66402
27,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,2022.6.1,5477087710,0.006,581223,809,14101
28,이상한 나라의 수학자,2022.3.9,5045088520,0.006,534250,1357,72423
29,명탐정 코난: 할로윈의 신부,2022.7.13,4995884128,0.006,479871,758,19036
30,모비우스,2022.3.30,4669517390,0.005,475928,1696,71160
31,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022.9.28,4618681978,0.005,461747,873,15717
32,늑대사냥,2022.9.21,4742967474,0.005,456152,1226,38834
33,뽀로로 극장판 드래곤캐슬 대모험,2022.7.28,4191306075,0.005,447571,748,17843
34,특송,2022.1.12,4172193200,0.005,443177,996,48006
35,니 부모 얼굴이 보고 싶다,2022.4.27,3948631280,0.004,416375,1008,39189
36,놉,2022.8.17,4702282135,0.005,415243,1031,31740
37,킹스맨: 퍼스트 에이전트,2021.12.22,4159334510,0.005,406904,913,27268
38,배드 가이즈,2022.5.4,3779400170,0.004,400053,844,22864
39,뜨거운 피,2022.3.23,3782750970,0.004,398090,1279,53956
40,버즈 라이트이어,2022.6.15,3510462460,0.004,344558,844,21867
41,그대가 조국,2022.5.25,3110252870,0.003,333633,601,11222
42,수퍼 소닉2,2022.4.6,2848373410,0.003,315123,1129,27104
43,DC 리그 오브 슈퍼-펫,2022.8.10,2322641159,0.003,248798,585,13069
44,나일 강의 죽음,2022.2.9,2242081480,0.002,232883,1041,34168
45,아바타 리마스터링,2022.9.21,3895090540,0.004,230712,285,9881
46,극장판 헬로카봇: 수상한 마술단의 비밀,2022.9.28,1870900286,0.002,198777,790,9749
47,문폴,2022.3.16,1962779300,0.002,195346,1174,32498
48,앵커,2022.4.20,1651791610,0.002,171255,1032,26638
49,극장판 엄마 까투리: 도시로 간 까투리 가족,2022.9.8,1584603399,0.002,169969,616,9239
50,공기살인,2022.4.22,1473339250,0.002,158265,756,20626